zone_name,zone_id,epc,랙그룹명,층,선반명,파레트,높이
RCH-C2-3-B-B,44c19d1fa045ec04be0ff5b63b1014bd,DA02A40002000000004800ED,C2,3,B,B,5350
RCH-C2-3-C-A,415f84fa94b889ddab62fc8e383a9399,DA02A40002000000004900ED,C2,3,C,A,5350
RCH-C2-3-C-B,4104db769cd0cad6bbb0e4d081c5d01f,DA02A40002000000004A00ED,C2,3,C,B,5350
RCH-C2-3-D-A,4ba9b0f3474f8828a704c6c491f5de08,DA02A40002000000004B00ED,C2,3,D,A,5350
RCH-C2-4-A-A,4d855bff8b2eaf6ebd2d4aa89d013bd7,DA02A40002000000004500ED,C2,4,A,A,7480
RCH-C2-4-A-B,401af269703c360eaaa12c0b2c3f2549,DA02A40002000000004600ED,C2,4,A,B,7480
RCH-C2-4-B-A,4318757313c75a749b9d10a0e6e1754e,DA02A40002000000004700ED,C2,4,B,A,7480
RCH-C2-4-B-B,496b1719648f3c29a09cd9983fd9fc3f,DA02A40002000000004800ED,C2,4,B,B,7480
RCH-C2-4-C-A,488ae6109382ca73bc1869cbce03f7ea,DA02A40002000000004900ED,C2,4,C,A,7480
RCH-C2-4-C-B,4ede8e6b7cc340c397f9a1624863ba60,DA02A40002000000004A00ED,C2,4,C,B,7480
RCH-C2-4-D-A,45440976cf1d53dea0c9d5e2393037c1,DA02A40002000000004B00ED,C2,4,D,A,7480
